ESTACION;NOMBRE;ANO-MES;TIPO;OPERADA;Pmensual;Panual;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
00074018;CARTAGENA;1973-12;PV;SENARA;0;2546,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1974-01;PV;SENARA;0,3;;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1974-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1974-03;PV;SENARA;2,3;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,3
00074018;CARTAGENA;1974-04;PV;SENARA;3,4;;1;1,3;0,5;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0
00074018;CARTAGENA;1974-05;PV;SENARA;267,2;;0;0;0;0;0;0;0;8,7;0;0;0;23;0;0,5;60;39;0;0;40,5;0;13,8;41,5;20,7;0;0;12;3,5;0;0;3;1
00074018;CARTAGENA;1974-06;PV;SENARA;314,1;;0;21;2;28;0;0;0;7,5;0;62;17;26;1;0,3;0;7;9;4;10,5;26,5;0,5;0;46;0;4,3;34,5;7;0;0;0;0
00074018;CARTAGENA;1974-07;PV;SENARA;123;;0;0;0;0;0;0;0;3;0;0;46;5;0;0;0;0,5;0;0;0;41;0;0;0;0;0;0;0;0;0;27,5;0
00074018;CARTAGENA;1974-08;PV;SENARA;297,3;;0;0;35;0;0;0;0,3;0;0;0;45,5;37;17;5,5;0;0;0;0;0;0;0;0;53;0;20;16;50;10;0,5;7,5;0
00074018;CARTAGENA;1974-09;PV;SENARA;601,9;;20,5;57;4;38,5;2;3,5;40,5;20;13,5;40,5;1;13,5;17;13;9,5;43,5;73;60,5;73,5;2,5;0;20,5;0;0;0;2;24,7;0;7,7;0;0
00074018;CARTAGENA;1974-10;PV;SENARA;221,9;;12,5;5;6;6;18;0;19,5;0;0;0;9;4;0;0;0;7;6,2;0,2;0;9;24;0;0;4;22,7;2,2;0;20,2;0,7;19,7;26
00074018;CARTAGENA;1974-11;PV;SENARA;12,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
00074018;CARTAGENA;1974-12;PV;SENARA;0;1843,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1975-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1975-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1975-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1975-04;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1975-05;PV;SENARA;104,2;;0;0;0;0;0;0;2,5;7;0;0;0;0;0;0;43,7;0;0;0;0;0;0;0;0;0;5,5;0;19;-8;23,5;4,5;6,5
00074018;CARTAGENA;1975-06;PV;SENARA;162;;0;0;43,7;0;1,5;0;0;34;0;44,5;0;0;0;0;0;0;3,5;0;1,5;0;0;2,3;2;0;0;10;0;0;19;0;0
00074018;CARTAGENA;1975-07;PV;SENARA;166;;0;15;26,5;12,5;-8;28,5;37,5;23;0;0;0;-8;21;0;0;5;0;0;0;0;0;5,5;1;0;8;-8;6,5;0;0;0;0
00074018;CARTAGENA;1975-08;PV;SENARA;216;;0;1;0;10;0;0;8;10,5;19;0;0;0;0,5;0;4;-8;31;46,5;0,5;23,5;4,5;1;0,5;0;0;3;39,5;18,5;2,5;0;0
00074018;CARTAGENA;1975-09;PV;SENARA;464,4;;2;16;27;6,5;26,5;-8;179;5,5;6,2;36;2,5;3;-8;9;0;6,5;11;0;0;-8;24;75;7,2;5;1;17;-8;9;0;21,5;0
00074018;CARTAGENA;1975-10;PV;SENARA;265,4;;0;2;26,5;17,5;0;1,5;28,5;0;12;0;0;6,5;4,5;6,2;0;-8;15;26;9;0;0;11,5;14,2;6;-8;22;3,5;8;19;20,5;21,5
00074018;CARTAGENA;1975-11;PV;SENARA;601,5;;-8;61;7;4,5;129,5;104;1;1;0;-8;211,5;9;0,5;0;0;0;0;0;3,5;66;16;1;0;0,5;0;0;1,5;0;0;0;0
00074018;CARTAGENA;1975-12;PV;SENARA;0;1979,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1976-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1976-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1976-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1976-04;PV;SENARA;5,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,5;0
00074018;CARTAGENA;1976-05;PV;SENARA;181,5;;33,5;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,5;0;0;12,5;2;88,5;0;14,5;2;0;0;15,5
00074018;CARTAGENA;1976-06;PV;SENARA;327,5;;10;5;17,5;10;0;43,5;0;54,5;3;74,5;7,5;51,5;0;0;0;0;7;0;0;3;2,5;14,5;0;0;9;14,5;0;0;0;0;0
00074018;CARTAGENA;1976-07;PV;SENARA;138,5;;0;0;0;59;39,5;10;15,5;0;0;0;0;0;2;0;0;0;0;0;0;12,5;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1976-08;PV;SENARA;92;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,5;0;0;1;0;0;8;19,5;0;2;0;2;0;46;0;0
00074018;CARTAGENA;1976-09;PV;SENARA;92;;0;1,5;26,5;0;2;0;0;0;0;0;0;0;2,5;0;5,5;0;0;0;0;0;16,5;2,5;0;0,5;0;0;6;6,5;22;0;0
00074018;CARTAGENA;1976-10;PV;SENARA;274,5;;2,5;-8;84,5;-8;36,5;4,5;16;4;-8;60,5;0;21;13,5;0;3,5;-8;7;34,5;8,5;0;0;0;0;0;0;0,5;1;0;0;8,5;0
00074018;CARTAGENA;1976-11;PV;SENARA;198,5;;31;0;0;0;0;0;0;0;0;0;4;14,5;0;82;0;60,5;0;0;0;0;6,5;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1976-12;PV;SENARA;0;1310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1977-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1977-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1977-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1977-04;PV;SENARA;2,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1977-05;PV;SENARA;137;;0;0;0;0;0;0;0;0;0;32;0;0;0;0;6;0;0;0;0;0;0;0;3,5;15;0;51;2,5;0;8;13;6
00074018;CARTAGENA;1977-06;PV;SENARA;105;;12;14;12;-8;16,5;0;23,5;11;0;0;0;0;1,5;9,5;0;0;0;0;0;0;2,5;2;3;0;0;0;0;0;5,5;0;0
00074018;CARTAGENA;1977-07;PV;SENARA;24;;0;0;9,5;0;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1977-08;PV;SENARA;250,5;;0;0;0;0;0;0;35,5;12;27;22;8;0;0;0;0;0;27,5;17;0;0;8,5;0;8;28,5;20,5;0;0;0;0;0;36
00074018;CARTAGENA;1977-09;PV;SENARA;229;;4;0;0;0;0;0;0;0;0;0;0;0;3,5;0;10,5;0;0;0;17;12,5;10,5;12;20;0;47;13,5;12;17,5;0;49;0
00074018;CARTAGENA;1977-10;PV;SENARA;310,5;;0;48;0;0;0;0;0;0;2;26;0;17;0;2;0;0;0;1,5;0;77;0;0;39,5;13,5;0;0;0;18,5;0;65,5;0
00074018;CARTAGENA;1977-11;PV;SENARA;55,5;;0;0;9,5;0;0;0;7,5;1,5;0;0;0;4;0;0;1;3,5;4;0;19;0;0;0;0;0;0;0;0;0;5,5;0;0
00074018;CARTAGENA;1977-12;PV;SENARA;4;1118;1,5;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1978-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1978-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1978-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1978-04;PV;SENARA;6,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1978-05;PV;SENARA;536;;0;74,5;3;29,5;0;-8;38;8,5;13;0;0;0;0;0;0;0;17;24,5;36,5;0;0;15,5;18;17,5;49;2;-8;102;4;45;54,5
00074018;CARTAGENA;1978-06;PV;SENARA;204,5;;30,5;6,5;-8;26,5;65,5;14;18;25;0;8,5;0;0;0;1;0;0;0;0;0;8;4,5;0;0;0;2,5;0;0;0;0;2;0
